"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story ddt","Search wiki by keyword test DDT","SUCCESS","2022-05-03T17:29:47.373+02:00[Europe/Paris]","0.0","33.97"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2022-05-03T17:30:38.789+02:00[Europe/Paris]","0.0","9.67"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2022-05-03T17:30:49.126+02:00[Europe/Paris]","0.0","0.4"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2022-05-03T17:30:49.649+02:00[Europe/Paris]","0.0","8.08"
